"term","estimate","std.error","statistic","p.value"
"tundraHeath.30",0.38,0.02,16,0
"forest.500",-4.08,0.41,-10.05,0
"shrub.100",-0.41,0.05,-7.74,0
"water.30",0.22,0.11,2.02,0.04
"vrmS.30",0.23,0.01,28.44,0
"slopeS.100",0.29,0.07,3.92,0
"slopeS2.100",0.29,0.05,5.65,0
"aspectS.30",0.79,0.06,13.71,0
"elevS.30",0.27,0.09,2.91,0
"elevS2.30",-0.64,0.07,-9.13,0
